sources,is_weed,verbatim_name,wcvp_taxon_name,wcvp_author,wcvp_rank,wcvp_taxon_status,wcvp_taxonid,wcvp_accepted_name,wcvp_accepted_author,wcvp_accepted_taxonid,wcvp_family,wcvp_match_type,wcvp_match_score,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_authorship,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_accepted_key,gbif_accepted_name,gbif_accepted_authorship,gbif_kingdom,gbif_phylum,gbif_class,gbif_order,gbif_family,gbif_genus,gbif_species,gbif_species_key
tsakalos_2018_applvegsci,False,Monotaxis grandiflora,Monotaxis grandiflora,Endl.,Species,Accepted,129534,Monotaxis grandiflora,Endl.,129534,Euphorbiaceae,exact,100,5378040,Monotaxis grandiflora Endl.,Monotaxis grandiflora,Endl.,SPECIES,ACCEPTED,EXACT,100,5378040,Monotaxis grandiflora Endl.,Endl.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Monotaxis,Monotaxis grandiflora,5378040
tsakalos_2018_applvegsci,False,Acacia alata,Acacia alata,R.Br.,Species,Accepted,2611150,Acacia alata,R.Br.,2611150,Fabaceae,exact,100,2980814,Acacia alata R.Br.,Acacia alata,R.Br.,SPECIES,ACCEPTED,EXACT,100,2980814,Acacia alata R.Br.,R.Br.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia alata,2980814
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Acacia auronitens,Acacia auronitens,Lindl.,Species,Accepted,2611371,Acacia auronitens,Lindl.,2611371,Fabaceae,exact,100,2981182,Acacia auronitens Lindl.,Acacia auronitens,Lindl.,SPECIES,ACCEPTED,EXACT,100,2981182,Acacia auronitens Lindl.,Lindl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia auronitens,2981182
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Acacia barbinervis subsp. borealis,Acacia barbinervis subsp. borealis,Maslin,Subspecies,Accepted,2611398,Acacia barbinervis subsp. borealis,Maslin,2611398,Fabaceae,exact,100,2979077,Acacia barbinervis subsp. borealis Maslin,Acacia barbinervis borealis,Maslin,SUBSPECIES,ACCEPTED,EXACT,100,2979077,Acacia barbinervis subsp. borealis Maslin,Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia barbinervis,2979075
riviera_2021_restecol|tsakalos_2018_applvegsci,False,Acacia blakelyi,Acacia blakelyi,Maiden,Species,Accepted,2611459,Acacia blakelyi,Maiden,2611459,Fabaceae,exact,100,2979464,Acacia blakelyi Maiden,Acacia blakelyi,Maiden,SPECIES,ACCEPTED,EXACT,100,2979464,Acacia blakelyi Maiden,Maiden,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia blakelyi,2979464
dbca_2025_tpfl,False,Acacia carens,Acacia carens,Maslin,Species,Accepted,2611599,Acacia carens,Maslin,2611599,Fabaceae,exact,100,2981202,Acacia carens Maslin,Acacia carens,Maslin,SPECIES,ACCEPTED,EXACT,100,2981202,Acacia carens Maslin,Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia carens,2981202
tsakalos_2018_applvegsci,False,Acacia cavealis,Acacia cavealis,R.S.Cowan & Maslin,Species,Accepted,2611622,Acacia cavealis,R.S.Cowan & Maslin,2611622,Fabaceae,exact,100,2981007,Acacia cavealis R.S.Cowan & Maslin,Acacia cavealis,R.S.Cowan & Maslin,SPECIES,ACCEPTED,EXACT,100,2981007,Acacia cavealis R.S.Cowan & Maslin,R.S.Cowan & Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia cavealis,2981007
tsakalos_2018_applvegsci,False,Acacia cochlearis,Acacia cochlearis,(Labill.) H.L.Wendl.,Species,Accepted,2611700,Acacia cochlearis,(Labill.) H.L.Wendl.,2611700,Fabaceae,exact,100,2979729,Acacia cochlearis (Labill.) H.L.Wendl.,Acacia cochlearis,(Labill.) H.L.Wendl.,SPECIES,ACCEPTED,EXACT,100,2979729,Acacia cochlearis (Labill.) H.L.Wendl.,(Labill.) H.L.Wendl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia cochlearis,2979729
tsakalos_2018_applvegsci,False,Acacia dilatata,Acacia dilatata,Benth.,Species,Accepted,2611972,Acacia dilatata,Benth.,2611972,Fabaceae,exact,100,2978831,Acacia dilatata Benth.,Acacia dilatata,Benth.,SPECIES,ACCEPTED,EXACT,100,2978831,Acacia dilatata Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia dilatata,2978831
tsakalos_2018_applvegsci,False,Acacia drewiana subsp. drewiana,Acacia drewiana subsp. drewiana,nan,Subspecies,Accepted,3240444,Acacia drewiana subsp. drewiana,nan,3240444,Fabaceae,exact,100,7225096,Acacia drewiana subsp. drewiana,Acacia drewiana drewiana,,SUBSPECIES,ACCEPTED,EXACT,99,7225096,Acacia drewiana subsp. drewiana,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia drewiana,2980402
dbca_2025_tpfl,False,Acacia epacantha,Acacia epacantha,(Maslin) Maslin,Species,Accepted,2612097,Acacia epacantha,(Maslin) Maslin,2612097,Fabaceae,exact,100,2980776,Acacia epacantha (Maslin) Maslin,Acacia epacantha,(Maslin) Maslin,SPECIES,ACCEPTED,EXACT,100,2980776,Acacia epacantha (Maslin) Maslin,(Maslin) Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia epacantha,2980776
tsakalos_2018_applvegsci,False,Acacia fagonioides,Acacia fagonioides,Benth.,Species,Accepted,2612160,Acacia fagonioides,Benth.,2612160,Fabaceae,exact,100,7603407,Acacia fagonioides Benth.,Acacia fagonioides,Benth.,SPECIES,ACCEPTED,EXACT,100,7603407,Acacia fagonioides Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia fagonioides,7603407
dbca_2025_tpfl,False,Acacia flabellifolia,Acacia flabellifolia,W.Fitzg.,Species,Accepted,2612216,Acacia flabellifolia,W.Fitzg.,2612216,Fabaceae,exact,100,2980608,Acacia flabellifolia W.Fitzg.,Acacia flabellifolia,W.Fitzg.,SPECIES,ACCEPTED,EXACT,100,2980608,Acacia flabellifolia W.Fitzg.,W.Fitzg.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia flabellifolia,2980608
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Acacia lasiocarpa,Acacia lasiocarpa,Benth.,Species,Accepted,2612705,Acacia lasiocarpa,Benth.,2612705,Fabaceae,exact,100,2980643,Acacia lasiocarpa Benth.,Acacia lasiocarpa,Benth.,SPECIES,ACCEPTED,EXACT,100,2980643,Acacia lasiocarpa Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia lasiocarpa,2980643
tsakalos_2018_applvegsci,False,Acacia latipes,Acacia latipes,Benth.,Species,Accepted,2612721,Acacia latipes,Benth.,2612721,Fabaceae,exact,100,2979947,Acacia latipes Benth.,Acacia latipes,Benth.,SPECIES,ACCEPTED,EXACT,100,2979947,Acacia latipes Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia latipes,2979947
dbca_2025_tpfl,False,Acacia latipes subsp. licina,Acacia latipes subsp. licina,R.S.Cowan & Maslin,Subspecies,Accepted,2612722,Acacia latipes subsp. licina,R.S.Cowan & Maslin,2612722,Fabaceae,exact,100,2979949,Acacia latipes subsp. licina R.S.Cowan & Maslin,Acacia latipes licina,R.S.Cowan & Maslin,SUBSPECIES,ACCEPTED,EXACT,100,2979949,Acacia latipes subsp. licina R.S.Cowan & Maslin,R.S.Cowan & Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia latipes,2979947
tsakalos_2018_applvegsci,False,Acacia moirii subsp. recurvistipula,Acacia moirii subsp. recurvistipula,Maslin,Subspecies,Accepted,2613039,Acacia moirii subsp. recurvistipula,Maslin,2613039,Fabaceae,exact,100,2981295,Acacia moirii subsp. recurvistipula Maslin,Acacia moirii recurvistipula,Maslin,SUBSPECIES,ACCEPTED,EXACT,100,2981295,Acacia moirii subsp. recurvistipula Maslin,Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia moirii,2981292
tsakalos_2018_applvegsci,False,Acacia pulchella,Acacia pulchella,R.Br.,Species,Accepted,2613530,Acacia pulchella,R.Br.,2613530,Fabaceae,exact,100,2980170,Acacia pulchella R.Br.,Acacia pulchella,R.Br.,SPECIES,ACCEPTED,EXACT,100,2980170,Acacia pulchella R.Br.,R.Br.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia pulchella,2980170
tsakalos_2018_applvegsci,False,Acacia rostellifera,Acacia rostellifera,Benth.,Species,Accepted,2613677,Acacia rostellifera,Benth.,2613677,Fabaceae,exact,100,2979059,Acacia rostellifera Benth.,Acacia rostellifera,Benth.,SPECIES,ACCEPTED,EXACT,100,2979059,Acacia rostellifera Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia rostellifera,2979059
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Acacia saligna,Acacia saligna,(Labill.) H.L.Wendl.,Species,Accepted,2613720,Acacia saligna,(Labill.) H.L.Wendl.,2613720,Fabaceae,exact,100,2978552,Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna,(Labill.) H.L.Wendl.,SPECIES,ACCEPTED,EXACT,100,2978552,Acacia saligna (Labill.) H.L.Wendl.,(Labill.) H.L.Wendl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,2978552
tsakalos_2018_applvegsci,False,Acacia scirpifolia,Acacia scirpifolia,Meisn.,Species,Accepted,2613755,Acacia scirpifolia,Meisn.,2613755,Fabaceae,exact,100,2979390,Acacia scirpifolia Meisn.,Acacia scirpifolia,Meisn.,SPECIES,ACCEPTED,EXACT,100,2979390,Acacia scirpifolia Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia scirpifolia,2979390
tsakalos_2018_applvegsci,False,Acacia sessilis,Acacia sessilis,Benth.,Species,Accepted,2613823,Acacia sessilis,Benth.,2613823,Fabaceae,exact,100,2979941,Acacia sessilis Benth.,Acacia sessilis,Benth.,SPECIES,ACCEPTED,EXACT,100,2979941,Acacia sessilis Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia sessilis,2979941
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Acacia spathulifolia,Acacia spathulifolia,Maslin,Species,Accepted,2613893,Acacia spathulifolia,Maslin,2613893,Fabaceae,exact,100,2980266,Acacia spathulifolia Maslin,Acacia spathulifolia,Maslin,SPECIES,ACCEPTED,EXACT,100,2980266,Acacia spathulifolia Maslin,Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia spathulifolia,2980266
tsakalos_2018_applvegsci,False,Acacia stenoptera,Acacia stenoptera,Benth.,Species,Accepted,2613942,Acacia stenoptera,Benth.,2613942,Fabaceae,exact,100,2978236,Acacia stenoptera Benth.,Acacia stenoptera,Benth.,SPECIES,ACCEPTED,EXACT,100,2978236,Acacia stenoptera Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia stenoptera,2978236
tsakalos_2018_applvegsci,False,Acacia willdenowiana,Acacia willdenowiana,H.L.Wendl.,Species,Accepted,2614332,Acacia willdenowiana,H.L.Wendl.,2614332,Fabaceae,exact,100,2978527,Acacia willdenowiana H.L.Wendl.,Acacia willdenowiana,H.L.Wendl.,SPECIES,ACCEPTED,EXACT,100,2978527,Acacia willdenowiana H.L.Wendl.,H.L.Wendl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia willdenowiana,2978527
dbca_2025_tpfl,False,Acacia wilsonii,Acacia wilsonii,R.S.Cowan & Maslin,Species,Accepted,2614335,Acacia wilsonii,R.S.Cowan & Maslin,2614335,Fabaceae,exact,100,2978981,Acacia wilsonii R.S.Cowan & Maslin,Acacia wilsonii,R.S.Cowan & Maslin,SPECIES,ACCEPTED,EXACT,100,2978981,Acacia wilsonii R.S.Cowan & Maslin,R.S.Cowan & Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia wilsonii,2978981
tsakalos_2018_applvegsci,False,Bossiaea eriocarpa,Bossiaea eriocarpa,Benth.,Species,Accepted,2680469,Bossiaea eriocarpa,Benth.,2680469,Fabaceae,exact,100,2968317,Bossiaea eriocarpa Benth.,Bossiaea eriocarpa,Benth.,SPECIES,ACCEPTED,EXACT,100,2968317,Bossiaea eriocarpa Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bossiaea,Bossiaea eriocarpa,2968317
tsakalos_2018_applvegsci,False,Cristonia biloba,Cristonia biloba,(Benth.) J.H.Ross,Species,Accepted,2742895,Cristonia biloba,(Benth.) J.H.Ross,2742895,Fabaceae,exact,100,3971298,Cristonia biloba (Benth.) J.H.Ross,Cristonia biloba,(Benth.) J.H.Ross,SPECIES,ACCEPTED,EXACT,100,3971298,Cristonia biloba (Benth.) J.H.Ross,(Benth.) J.H.Ross,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cristonia,Cristonia biloba,3971298
dbca_2025_tpfl,False,Cristonia biloba subsp. pubescens,Cristonia biloba subsp. pubescens,I.Thomps.,Subspecies,Accepted,2899459,Cristonia biloba subsp. pubescens,I.Thomps.,2899459,Fabaceae,exact,100,10870753,Cristonia biloba subsp. pubescens I.Thomps.,Cristonia biloba pubescens,I.Thomps.,SUBSPECIES,ACCEPTED,EXACT,100,10870753,Cristonia biloba subsp. pubescens I.Thomps.,I.Thomps.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cristonia,Cristonia biloba,3971298
tsakalos_2018_applvegsci,False,Daviesia angulata,Daviesia angulata,Benth.,Species,Accepted,2758165,Daviesia angulata,Benth.,2758165,Fabaceae,exact,100,2956005,Daviesia angulata Benth.,Daviesia angulata,Benth.,SPECIES,ACCEPTED,EXACT,100,2956005,Daviesia angulata Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia angulata,2956005
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia chapmanii,Daviesia chapmanii,Crisp,Species,Accepted,2758187,Daviesia chapmanii,Crisp,2758187,Fabaceae,exact,100,3911698,Daviesia chapmanii Crisp,Daviesia chapmanii,Crisp,SPECIES,ACCEPTED,EXACT,100,3911698,Daviesia chapmanii Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia chapmanii,3911698
tsakalos_2018_applvegsci,False,Daviesia daphnoides,Daviesia daphnoides,Meisn.,Species,Accepted,2758207,Daviesia daphnoides,Meisn.,2758207,Fabaceae,exact,100,2955993,Daviesia daphnoides Meisn.,Daviesia daphnoides,Meisn.,SPECIES,ACCEPTED,EXACT,100,2955993,Daviesia daphnoides Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia daphnoides,2955993
tsakalos_2018_applvegsci,False,Daviesia debilior,Daviesia debilior,Crisp,Species,Accepted,2758208,Daviesia debilior,Crisp,2758208,Fabaceae,exact,100,2956002,Daviesia debilior Crisp,Daviesia debilior,Crisp,SPECIES,ACCEPTED,EXACT,100,2956002,Daviesia debilior Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia debilior,2956002
dbca_2025_tpfl,False,Daviesia debilior subsp. debilior,Daviesia debilior subsp. debilior,nan,Subspecies,Accepted,3256422,Daviesia debilior subsp. debilior,nan,3256422,Fabaceae,exact,100,7224991,Daviesia debilior subsp. debilior,Daviesia debilior debilior,,SUBSPECIES,ACCEPTED,EXACT,99,7224991,Daviesia debilior subsp. debilior,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia debilior,2956002
tsakalos_2018_applvegsci,False,Daviesia decurrens,Daviesia decurrens,Meisn.,Species,Accepted,2758211,Daviesia decurrens,Meisn.,2758211,Fabaceae,exact,100,2955945,Daviesia decurrens Meisn.,Daviesia decurrens,Meisn.,SPECIES,ACCEPTED,EXACT,100,2955945,Daviesia decurrens Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia decurrens,2955945
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia divaricata,Daviesia divaricata,Benth.,Species,Accepted,2758216,Daviesia divaricata,Benth.,2758216,Fabaceae,exact,100,2955995,Daviesia divaricata Benth.,Daviesia divaricata,Benth.,SPECIES,ACCEPTED,EXACT,100,2955995,Daviesia divaricata Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia divaricata,2955995
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia epiphyllum,Daviesia epiphyllum,Meisn.,Species,Accepted,2758223,Daviesia epiphyllum,Meisn.,2758223,Fabaceae,exact,100,2955967,Daviesia epiphyllum Meisn.,Daviesia epiphyllum,Meisn.,SPECIES,ACCEPTED,EXACT,100,2955967,Daviesia epiphyllum Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia epiphyllum,2955967
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia incrassata,Daviesia incrassata,Sm.,Species,Accepted,2758249,Daviesia incrassata,Sm.,2758249,Fabaceae,exact,100,2956016,Daviesia incrassata Sm.,Daviesia incrassata,Sm.,SPECIES,ACCEPTED,EXACT,100,2956016,Daviesia incrassata Sm.,Sm.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia incrassata,2956016
tsakalos_2018_applvegsci,False,Daviesia longifolia,Daviesia longifolia,P.J.Jacq.,Species,Accepted,3304238,Daviesia longifolia,P.J.Jacq.,3304238,Fabaceae,exact,100,2955969,Daviesia longifolia Benth.,Daviesia longifolia,Benth.,SPECIES,ACCEPTED,EXACT,99,2955969,Daviesia longifolia Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia longifolia,2955969
tsakalos_2018_applvegsci,False,Daviesia nudiflora,Daviesia nudiflora,Meisn.,Species,Accepted,2758294,Daviesia nudiflora,Meisn.,2758294,Fabaceae,exact,100,2955947,Daviesia nudiflora Meisn.,Daviesia nudiflora,Meisn.,SPECIES,ACCEPTED,EXACT,100,2955947,Daviesia nudiflora Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia nudiflora,2955947
tsakalos_2018_applvegsci,False,Daviesia oxyclada,Daviesia oxyclada,Crisp,Species,Accepted,2758305,Daviesia oxyclada,Crisp,2758305,Fabaceae,exact,100,3911099,Daviesia oxyclada Crisp,Daviesia oxyclada,Crisp,SPECIES,ACCEPTED,EXACT,100,3911099,Daviesia oxyclada Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia oxyclada,3911099
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia pedunculata,Daviesia pedunculata,Benth.,Species,Accepted,2758316,Daviesia pedunculata,Benth.,2758316,Fabaceae,exact,100,2956001,Daviesia pedunculata Benth.,Daviesia pedunculata,Benth.,SPECIES,ACCEPTED,EXACT,100,2956001,Daviesia pedunculata Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia pedunculata,2956001
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Daviesia podophylla,Daviesia podophylla,Crisp,Species,Accepted,2758322,Daviesia podophylla,Crisp,2758322,Fabaceae,exact,100,2956021,Daviesia podophylla Crisp,Daviesia podophylla,Crisp,SPECIES,ACCEPTED,EXACT,100,2956021,Daviesia podophylla Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia podophylla,2956021
dbca_2025_tpfl,False,Daviesia speciosa,Daviesia speciosa,Crisp,Species,Accepted,2758350,Daviesia speciosa,Crisp,2758350,Fabaceae,exact,100,3910892,Daviesia speciosa Crisp,Daviesia speciosa,Crisp,SPECIES,ACCEPTED,EXACT,100,3910892,Daviesia speciosa Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia speciosa,3910892
tsakalos_2018_applvegsci,False,Daviesia triflora,Daviesia triflora,Crisp,Species,Accepted,2758361,Daviesia triflora,Crisp,2758361,Fabaceae,exact,100,2955975,Daviesia triflora Crisp,Daviesia triflora,Crisp,SPECIES,ACCEPTED,EXACT,100,2955975,Daviesia triflora Crisp,Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia,Daviesia triflora,2955975
tsakalos_2018_applvegsci,False,Gastrolobium axillare,Gastrolobium axillare,Meisn.,Species,Accepted,2817421,Gastrolobium axillare,Meisn.,2817421,Fabaceae,exact,100,5612565,Gastrolobium axillare Meisn.,Gastrolobium axillare,Meisn.,SPECIES,ACCEPTED,EXACT,100,5612565,Gastrolobium axillare Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,Gastrolobium axillare,5612565
tsakalos_2018_applvegsci,False,Gastrolobium oxylobioides,Gastrolobium oxylobioides,Benth.,Species,Accepted,2817499,Gastrolobium oxylobioides,Benth.,2817499,Fabaceae,exact,100,5350208,Gastrolobium oxylobioides Benth.,Gastrolobium oxylobioides,Benth.,SPECIES,ACCEPTED,EXACT,100,5350208,Gastrolobium oxylobioides Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,Gastrolobium oxylobioides,5350208
tsakalos_2018_applvegsci,False,Gastrolobium plicatum,Gastrolobium plicatum,Turcz.,Species,Accepted,2817505,Gastrolobium plicatum,Turcz.,2817505,Fabaceae,exact,100,5360162,Gastrolobium plicatum Turcz.,Gastrolobium plicatum,Turcz.,SPECIES,ACCEPTED,EXACT,100,5360162,Gastrolobium plicatum Turcz.,Turcz.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,Gastrolobium plicatum,5360162
tsakalos_2018_applvegsci,False,Gastrolobium polystachyum,Gastrolobium polystachyum,Meisn.,Species,Accepted,2817507,Gastrolobium polystachyum,Meisn.,2817507,Fabaceae,exact,100,5350210,Gastrolobium polystachyum Meisn.,Gastrolobium polystachyum,Meisn.,SPECIES,ACCEPTED,EXACT,100,5350210,Gastrolobium polystachyum Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,Gastrolobium polystachyum,5350210
tsakalos_2018_applvegsci,False,Gastrolobium spinosum,Gastrolobium spinosum,Benth.,Species,Accepted,2817532,Gastrolobium spinosum,Benth.,2817532,Fabaceae,exact,100,5350189,Gastrolobium spinosum Benth.,Gastrolobium spinosum,Benth.,SPECIES,ACCEPTED,EXACT,100,5350189,Gastrolobium spinosum Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,Gastrolobium spinosum,5350189
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Gompholobium confertum,Gompholobium confertum,(DC.) Crisp,Species,Accepted,2828939,Gompholobium confertum,(DC.) Crisp,2828939,Fabaceae,exact,100,2950791,Gompholobium confertum (DC.) Crisp,Gompholobium confertum,(DC.) Crisp,SPECIES,ACCEPTED,EXACT,100,2950791,Gompholobium confertum (DC.) Crisp,(DC.) Crisp,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Gompholobium confertum,2950791
tsakalos_2018_applvegsci,False,Gompholobium knightianum,Gompholobium knightianum,Lindl.,Species,Accepted,2828960,Gompholobium knightianum,Lindl.,2828960,Fabaceae,exact,100,2950795,Gompholobium knightianum Lindl.,Gompholobium knightianum,Lindl.,SPECIES,ACCEPTED,EXACT,100,2950795,Gompholobium knightianum Lindl.,Lindl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Gompholobium knightianum,2950795
tsakalos_2018_applvegsci,False,Gompholobium preissii,Gompholobium preissii,Meisn.,Species,Accepted,2828982,Gompholobium preissii,Meisn.,2828982,Fabaceae,exact,100,2950824,Gompholobium preissii Meisn.,Gompholobium preissii,Meisn.,SPECIES,ACCEPTED,EXACT,100,2950824,Gompholobium preissii Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Gompholobium preissii,2950824
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Gompholobium shuttleworthii,Gompholobium shuttleworthii,Meisn.,Species,Accepted,2828986,Gompholobium shuttleworthii,Meisn.,2828986,Fabaceae,exact,100,2950782,Gompholobium shuttleworthii Meisn.,Gompholobium shuttleworthii,Meisn.,SPECIES,ACCEPTED,EXACT,100,2950782,Gompholobium shuttleworthii Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Gompholobium shuttleworthii,2950782
tsakalos_2018_applvegsci,False,Gompholobium tomentosum,Gompholobium tomentosum,Labill.,Species,Accepted,2828995,Gompholobium tomentosum,Labill.,2828995,Fabaceae,exact,100,2950823,Gompholobium tomentosum Labill.,Gompholobium tomentosum,Labill.,SPECIES,ACCEPTED,EXACT,100,2950823,Gompholobium tomentosum Labill.,Labill.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gompholobium,Gompholobium tomentosum,2950823
inaturalist_eneabba,False,Hardenbergia comptoniana,Hardenbergia comptoniana,(Andrews) Benth.,Species,Accepted,2839511,Hardenbergia comptoniana,(Andrews) Benth.,2839511,Fabaceae,exact,100,2948694,Hardenbergia comptoniana (Andrews) Benth.,Hardenbergia comptoniana,(Andrews) Benth.,SPECIES,ACCEPTED,EXACT,100,2948694,Hardenbergia comptoniana (Andrews) Benth.,(Andrews) Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hardenbergia,Hardenbergia comptoniana,2948694
tsakalos_2018_applvegsci,False,Hovea stricta,Hovea stricta,Meisn.,Species,Accepted,2853945,Hovea stricta,Meisn.,2853945,Fabaceae,exact,100,2974711,Hovea stricta Meisn.,Hovea stricta,Meisn.,SPECIES,ACCEPTED,EXACT,100,2974711,Hovea stricta Meisn.,Meisn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hovea,Hovea stricta,2974711
inaturalist_eneabba,False,Isotropis cuneifolia,Isotropis cuneifolia,(Sm.) Heynh.,Species,Accepted,2867710,Isotropis cuneifolia,(Sm.) Heynh.,2867710,Fabaceae,exact,100,7447705,Isotropis cuneifolia (Sm.) Heynh.,Isotropis cuneifolia,(Sm.) Heynh.,SPECIES,ACCEPTED,EXACT,100,7447705,Isotropis cuneifolia (Sm.) Heynh.,(Sm.) Heynh.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Isotropis,Isotropis cuneifolia,7447705
