sources,is_weed,verbatim_name,wcvp_taxon_name,wcvp_author,wcvp_rank,wcvp_taxon_status,wcvp_taxonid,wcvp_accepted_name,wcvp_accepted_author,wcvp_accepted_taxonid,wcvp_family,wcvp_match_type,wcvp_match_score,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_authorship,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_accepted_key,gbif_accepted_name,gbif_accepted_authorship,gbif_kingdom,gbif_phylum,gbif_class,gbif_order,gbif_family,gbif_genus,gbif_species,gbif_species_key
tsakalos_2018_applvegsci,False,Xanthosia huegelii,Xanthosia huegelii,(Benth.) Steud.,Species,Accepted,2467951,Xanthosia huegelii,(Benth.) Steud.,2467951,Apiaceae,exact,100,5539954,Xanthosia huegelii (Benth.) Steud.,Xanthosia huegelii,(Benth.) Steud.,SPECIES,ACCEPTED,EXACT,100,5539954,Xanthosia huegelii (Benth.) Steud.,(Benth.) Steud.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Xanthosia,Xanthosia huegelii,5539954
tsakalos_2018_applvegsci,False,Xanthosia tomentosa,Xanthosia tomentosa,A.S.George,Species,Accepted,2467984,Xanthosia tomentosa,A.S.George,2467984,Apiaceae,exact,100,5539875,Xanthosia tomentosa George,Xanthosia tomentosa,George,SPECIES,ACCEPTED,EXACT,100,5539875,Xanthosia tomentosa George,George,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Xanthosia,Xanthosia tomentosa,5539875
tsakalos_2018_applvegsci,False,Hydrocotyle hispidula,Hydrocotyle hispidula,Bunge,Species,Accepted,2856104,Hydrocotyle hispidula,Bunge,2856104,Araliaceae,exact,100,6027014,Hydrocotyle hispidula Bunge,Hydrocotyle hispidula,Bunge,SPECIES,ACCEPTED,EXACT,100,6027014,Hydrocotyle hispidula Bunge,Bunge,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle hispidula,6027014
dbca_2025_tpfl,False,Hydrocotyle lemnoides,Hydrocotyle lemnoides,Benth.,Species,Accepted,2856147,Hydrocotyle lemnoides,Benth.,2856147,Araliaceae,exact,100,3637037,Hydrocotyle lemnoides Benth.,Hydrocotyle lemnoides,Benth.,SPECIES,ACCEPTED,EXACT,100,3637037,Hydrocotyle lemnoides Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle lemnoides,3637037
tsakalos_2018_applvegsci,False,Trachymene coerulea,Trachymene coerulea,Graham,Species,Accepted,2438307,Trachymene coerulea,Graham,2438307,Araliaceae,exact,100,6026479,Trachymene coerulea Graham,Trachymene coerulea,Graham,SPECIES,ACCEPTED,EXACT,100,6026479,Trachymene coerulea Graham,Graham,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Trachymene,Trachymene coerulea,6026479
inaturalist_eneabba|riviera_2021_restecol|tsakalos_2018_applvegsci,False,Trachymene pilosa,Trachymene pilosa,Sm.,Species,Accepted,2438486,Trachymene pilosa,Sm.,2438486,Araliaceae,exact,100,6026369,Trachymene pilosa Sm.,Trachymene pilosa,Sm.,SPECIES,ACCEPTED,EXACT,100,6026369,Trachymene pilosa Sm.,Sm.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Trachymene,Trachymene pilosa,6026369
tsakalos_2018_applvegsci,False,Acanthocarpus preissii agg.,Acanthocarpus preissii,Lehm.,Species,Accepted,293452,Acanthocarpus preissii,Lehm.,293452,Asparagaceae,exact,100,2772861,Acanthocarpus preissii Lehm.,Acanthocarpus preissii,Lehm.,SPECIES,ACCEPTED,EXACT,100,2772861,Acanthocarpus preissii Lehm.,Lehm.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Acanthocarpus,Acanthocarpus preissii,2772861
tsakalos_2018_applvegsci,False,Laxmannia grandiflora subsp. grandiflora,Laxmannia grandiflora subsp. grandiflora,nan,Subspecies,Accepted,311429,Laxmannia grandiflora subsp. grandiflora,nan,311429,Asparagaceae,exact,100,7228138,Laxmannia grandiflora subsp. grandiflora,Laxmannia grandiflora grandiflora,,SUBSPECIES,ACCEPTED,EXACT,99,7228138,Laxmannia grandiflora subsp. grandiflora,,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Laxmannia,Laxmannia grandiflora,2770349
tsakalos_2018_applvegsci,False,Laxmannia omnifertilis,Laxmannia omnifertilis,Keighery,Species,Accepted,281032,Laxmannia omnifertilis,Keighery,281032,Asparagaceae,exact,100,2770346,Laxmannia omnifertilis Keighery,Laxmannia omnifertilis,Keighery,SPECIES,ACCEPTED,EXACT,100,2770346,Laxmannia omnifertilis Keighery,Keighery,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Laxmannia,Laxmannia omnifertilis,2770346
tsakalos_2018_applvegsci,False,Laxmannia ramosa subsp. ramosa,Laxmannia ramosa subsp. ramosa,nan,Subspecies,Accepted,311430,Laxmannia ramosa subsp. ramosa,nan,311430,Asparagaceae,exact,100,7070004,Laxmannia ramosa subsp. ramosa,Laxmannia ramosa ramosa,,SUBSPECIES,ACCEPTED,EXACT,99,7070004,Laxmannia ramosa subsp. ramosa,,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Laxmannia,Laxmannia ramosa,2770381
