type,label,value
species,Styphelia oblongifolia,10849324
species,Styphelia obtecta,4011091
species,Styphelia stomarrhena,4009718
species,Styphelia tortifolia,10744504
species,Styphelia williamsiorum,9405026
species,Styphelia xerophylla,4010725
species,Beyeria similis,5380394
species,Monotaxis bracteata,5378047
species,Monotaxis grandiflora,5378040
species,Acacia alata,2980814
species,Acacia auronitens,2981182
species,Acacia barbinervis subsp. borealis,2979077
species,Acacia blakelyi,2979464
species,Acacia carens,2981202
species,Acacia cavealis,2981007
species,Acacia cochlearis,2979729
species,Acacia dilatata,2978831
species,Acacia drewiana subsp. drewiana,7225096
species,Acacia epacantha,2980776
species,Acacia fagonioides,7603407
species,Acacia flabellifolia,2980608
species,Acacia lasiocarpa,2980643
species,Acacia latipes,2979947
species,Acacia latipes subsp. licina,2979949
species,Acacia moirii subsp. recurvistipula,2981295
species,Acacia pulchella,2980170
species,Acacia rostellifera,2979059
species,Acacia saligna,2978552
species,Acacia scirpifolia,2979390
species,Acacia sessilis,2979941
species,Acacia spathulifolia,2980266
species,Acacia stenoptera,2978236
species,Acacia willdenowiana,2978527
species,Acacia wilsonii,2978981
species,Bossiaea eriocarpa,2968317
species,Cristonia biloba,3971298
species,Cristonia biloba subsp. pubescens,10870753
species,Daviesia angulata,2956005
species,Daviesia chapmanii,3911698
species,Daviesia daphnoides,2955993
species,Daviesia debilior,2956002
species,Daviesia debilior subsp. debilior,7224991
species,Daviesia decurrens,2955945
species,Daviesia divaricata,2955995
species,Daviesia epiphyllum,2955967
species,Daviesia incrassata,2956016
species,Daviesia longifolia,2955969
species,Daviesia nudiflora,2955947
species,Daviesia oxyclada,3911099
species,Daviesia pedunculata,2956001
species,Daviesia podophylla,2956021
species,Daviesia speciosa,3910892
species,Daviesia triflora,2955975
species,Gastrolobium axillare,5612565
species,Gastrolobium oxylobioides,5350208
species,Gastrolobium plicatum,5360162
species,Gastrolobium polystachyum,5350210
species,Gastrolobium spinosum,5350189
species,Gompholobium confertum,2950791
species,Gompholobium knightianum,2950795
species,Gompholobium preissii,2950824
species,Gompholobium shuttleworthii,2950782
species,Gompholobium tomentosum,2950823
species,Hardenbergia comptoniana,2948694
species,Hovea stricta,2974711
species,Isotropis cuneifolia,7447705
species,Isotropis cuneifolia subsp. cuneifolia,7301506
species,Jacksonia angulata,5359759
species,Jacksonia anthoclada,5612831
species,Jacksonia condensata,5359763
species,Jacksonia floribunda,5359777
species,Jacksonia hakeoides,5359761
species,Jacksonia lehmannii,5359746
species,Jacksonia nutans,5612717
species,Jacksonia restioides,5359751
species,Labichea lanceolata,2975915
species,Labichea punctata,7905612
species,Mirbelia floribunda,5348558
species,Mirbelia spinosa,5348549
species,Mirbelia trichocalyx,5348541
species,Sphaerolobium drummondii,2974306
species,Sphaerolobium pulchellum,2974320
species,Viminaria juncea,2946422
species,Frankenia glomerata,7273506
species,Schenkia australis,5595259
species,Pelargonium capitatum,9711656
species,Dampiera carinata,5569526
species,Dampiera lavandulacea,5569243
species,Dampiera linearis,7262173
species,Dampiera oligophylla,5569147
species,Dampiera spicigera,7262333
species,Dampiera teres,9783004
species,Goodenia berardiana,3761482
species,Goodenia caerulea,3761355
species,Goodenia reinwardtii,11190565
species,Goodenia trichophylla,3761749
species,Leschenaultia biloba,5569556
species,Leschenaultia floribunda,5569528
species,Leschenaultia hirsuta,5569507
species,Leschenaultia linarioides,8772188
species,Leschenaultia stenosepala,5569461
species,Scaevola anchusifolia,5569328
species,Scaevola canescens,5569190
species,Scaevola crassifolia,5569128
species,Scaevola eneabba,5569048
species,Scaevola glandulifera,7262321
species,Scaevola lanceolata,7262274
species,Scaevola phlebopetala,7357282
species,Scaevola repens,7262313
species,Scaevola sericophylla,7262279
species,Gyrostemon ramulosus,7330833
species,Walteranthus erectus,3718299
species,Anigozanthos humilis,2765857
species,Anigozanthos humilis subsp. humilis,7227485
species,Anigozanthos manglesii,2765842
species,Anigozanthos pulcherrimus,2765855
species,Blancoa canescens,5303593
species,Conostylis aculeata subsp. breviflora,2765745
species,Conostylis androstemma,2765738
species,Conostylis aurea,2765729
species,Conostylis candicans,2765767
species,Conostylis canteriata,2765737
species,Conostylis crassinerva,2765713
species,Conostylis dielsii,2765721
species,Conostylis hiemalis,2765716
species,Conostylis neocymosa,2765809
species,Conostylis prolifera,2765711
species,Conostylis resinosa,2765718
species,Conostylis teretifolia,2765795
species,Conostylis teretiuscula,2765763
species,Conostylis tomentosa,2765720
species,Haemodorum discolor,2765666
species,Haemodorum laxum,2765678
species,Haemodorum loratum,2765655
species,Haemodorum simulans,2765671
species,Haemodorum spicatum,2765661
species,Haemodorum venosum,2765673
species,Macropidia fuliginosa,2765828
species,Phlebocarya filifolia,2765900
species,Phlebocarya pilosissima subsp. pilosissima,7227481
species,Glischrocaryon aureum,7329715
species,Gonocarpus pithyoides,5555460
species,Freesia leichtlinii,2747079
species,Patersonia juncea,2746987
species,Patersonia occidentalis,2746968
species,Hemiandra rubriflora,3888121
species,Hemiphora bartlingii,7838971
species,Lachnostachys eriobotrya,3898909
species,Pityrodia hemigenioides,3882597
species,Pityrodia viscida,3896958
species,Quoya verbascina,8410867
species,Cassytha glabella,7304255
species,Orianthera spermacocea,9030619
species,Phyllangium divergens,4019866
species,Amyema miquelii,4000948
species,Nuytsia floribunda,11019792
species,Macarthuria australis,7904287
species,Androcalva pulchella,7920482
species,Guichenotia alba,7560334
species,Guichenotia ledifolia,7416625
species,Guichenotia macrantha,8092097
species,Guichenotia micrantha,7941479
species,Guichenotia sarotes,8315905
species,Lasiopetalum angustifolium,3671283
species,Lasiopetalum drummondii,3670988
species,Seringia hermanniifolia,7471499
species,Thomasia rulingioides,7908563
species,Liparophyllum congestiflorum,7598700
species,Parakeelya corrigioloides,4022815
species,Parakeelya remota,4022723
species,Apectospermum spinescens,3181787
species,Babingtonia camphorosmae,3173613
species,Babingtonia grandiflora,9247960
species,Calytrix chrysantha,3185012
species,Calytrix depressa,3184955
species,Calytrix eneabbensis,3185024
species,Calytrix flavescens,3184896
species,Calytrix fraseri,3184823
species,Calytrix gracilis,3185029
species,Calytrix oldfieldii,3185026
species,Calytrix sapphirina,3184975
species,Calytrix strigosa,3184833
species,Calytrix superba,3184887
species,Chamelaucium uncinatum,3188340
species,Corymbia calophylla,5418394
species,Darwinia neildiana,5418353
species,Darwinia pauciflora,5418329
species,Darwinia sanguinea,5418338
species,Darwinia speciosa,5418324
species,Ericomyrtus serpyllifolia,9437845
species,Eucalyptus accedens,3176604
species,Eucalyptus camaldulensis,3176197
species,Eucalyptus drummondii,3176648
species,Eucalyptus erythrocorys,3176896
species,Eucalyptus gittinsii subsp. illucida,3716732
species,Eucalyptus johnsoniana,3177082
species,Eucalyptus jucunda,3176236
species,Eucalyptus macrocarpa,3176430
species,Eucalyptus macrocarpa subsp. elachantha,3716375
species,Eucalyptus pleurocarpa,3177078
species,Eucalyptus suberea,3176682
species,Eucalyptus todtiana,3176386
species,Hypocalymma angustifolium,3186716
species,Hypocalymma gardneri,3186700
species,Hypocalymma hirsutum,3186740
species,Hypocalymma xanthopetalum,3186702
species,Kunzea micrantha subsp. petiolata,5419973
species,Leptospermopsis oligandra,3181696
species,Melaleuca arcuata,9627060
species,Melaleuca aspalathoides,5416043
species,Melaleuca beaufortioides,9273812
species,Melaleuca blepharosperma,9233597
species,Melaleuca cardiophylla,5416048
species,Melaleuca ciliosa,5415863
species,Melaleuca concreta,5416077
species,Melaleuca cuspidata,5419968
species,Melaleuca ectadioclada,9444927
species,Melaleuca eriocarpa,10924797
species,Melaleuca glabra,9558670
species,Melaleuca glumacea,9354343
species,Melaleuca hamata,5415770
species,Melaleuca hamulosa,5415761
species,Melaleuca hirsuta,9370507
species,Melaleuca huegelii subsp. huegelii,7223992
species,Melaleuca kybeliona,9426806
species,Melaleuca lateriflora,5415824
species,Melaleuca leuropoma,5415873
species,Melaleuca longissima,9494884
species,Melaleuca marginata,9618931
species,Melaleuca orbicularis,5416142
species,Melaleuca pilosa var. pilosa,10977928
species,Melaleuca platycalyx,5415818
species,Melaleuca porphyrocephala,9434147
species,Melaleuca quadrifida,9498040
species,Melaleuca quadrifida subsp. angustifolia,9264141
species,Melaleuca radula,5415811
species,Melaleuca ryeae,5416143
species,Melaleuca scitula,9371374
species,Melaleuca systena,5415794
species,Melaleuca tinkeri,5415934
species,Melaleuca torulosa,9441419
species,Melaleuca trichophylla,5415802
species,Melaleuca urceolaris,5416032
species,Melaleuca variegata,9615278
species,Melaleuca viminea subsp. viminea,5415847
species,Melaleuca zonalis,5415841
species,Melaleuca × mulleola,9253627
species,Pileanthus filifolius,3188404
species,Scholtzia laxiflora,3186802
species,Scholtzia obovata,3186820
species,Scholtzia umbellifera,3186808
species,Thryptomene hyporhytis,3177561
species,Thryptomene mucronulata,3177576
species,Thryptomene racemulosa,3177564
species,Thryptomene spicata,9266757
species,Verticordia albida,5420218
species,Verticordia amphigia,5420209
species,Verticordia argentea,5420175
species,Verticordia aurea,5420144
species,Verticordia blepharophylla,5420270
species,Verticordia chrysanthella,5420204
species,Verticordia densiflora,5420184
species,Verticordia densiflora var. roseostella,5420188
species,Verticordia fragrans,5420166
species,Verticordia grandis,5420283
species,Verticordia laciniata,5420219
species,Verticordia luteola var. rosea,5420257
species,Verticordia monadelpha,5420113
species,Verticordia monadelpha var. monadelpha,5420116
species,Verticordia muelleriana subsp. muelleriana,5420269
species,Verticordia nitens,5420139
species,Verticordia nobilis,5420127
species,Verticordia ovalifolia,5420297
species,Verticordia penicillaris,5420147
species,Verticordia pennigera,5420135
species,Verticordia rutilastra,5420298
species,Olax benthamiana,3685880
species,Olax scalariformis,3686102
species,Jasminum calcareum,3682329
species,Anthobolus foveolatus,3789388
species,Caladenia bicalliata subsp. bicalliata,7069691
species,Caladenia brunonis,2838946
species,Caladenia crebra,2841103
species,Caladenia denticulata subsp. albicans,9338156
species,Caladenia flava,2841189
species,Caladenia longicauda,2842059
species,Caladenia longicauda subsp. borealis,2842069
species,Caladenia radialis,2841150
species,Caleana dixonii,9362413
species,Caleana nigrita,2820692
species,Diuris refracta,9523783
species,Diuris tinkeri,9400465
species,Drakaea glyptodon,2833951
species,Eriochilus dilatatus,2791980
species,Leporella fimbriata,5311097
species,Pheladenia deformis,2790510
species,Prasophyllum elatum,2802717
species,Pterostylis recurva,2847274
species,Pterostylis vittata,2847496
species,Pyrorchis nigricans,2791576
species,Thelymitra campanulata,2814117
species,Thelymitra pulcherrima,5952169
species,Phyllanthus calycinus,5381927
species,Poranthera asybosca,9283603
species,Poranthera microphylla,5383319
species,Stachystemon axillaris,3075348
species,Aira caryophyllea,7747216
species,Amphipogon caricinus,4104775
species,Amphipogon debilis,4104724
species,Amphipogon turbinatus,5671564
species,Aristida contorta,4128741
species,Austrostipa compressa,4105554
species,Austrostipa elegantissima,4105448
species,Austrostipa exilis,4105409
species,Austrostipa flavescens,4105371
species,Austrostipa hemipogon,4105333
