type,label,value
genus,Festuca,2704913
genus,Frankenia,2874684
genus,Freesia,2747044
genus,Gahnia,2710052
genus,Galium,2913027
genus,Gastrolobium,2947397
genus,Geleznowia,6433896
genus,Georgeantha,2693404
genus,Glischrocaryon,7329709
genus,Gnephosis,3117285
genus,Gompholobium,2950775
genus,Gonocarpus,2984292
genus,Goodenia,7262160
genus,Grevillea,7940744
genus,Guichenotia,3233991
genus,Gyrostemon,7330827
genus,Haemodorum,2765649
genus,Hakea,7123622
genus,Hardenbergia,2948692
genus,Hemiandra,7307104
genus,Hemiphora,7306953
genus,Hensmania,2773876
genus,Hibbertia,3234609
genus,Hopkinsia,2731678
genus,Hovea,2974708
genus,Hyalosperma,3130627
genus,Hybanthus,2874225
genus,Hydrocotyle,3034601
genus,Hypocalymma,3186696
genus,Hypochaeris,3093681
genus,Isopogon,3232555
genus,Isotoma,3165046
genus,Isotropis,2956377
genus,Jacksonia,2975479
genus,Jasminum,3172260
genus,Johnsonia,2781111
genus,Kunzea,3186579
genus,Labichea,2975908
genus,Lachnostachys,7307801
genus,Lagenophora,3142117
genus,Lambertia,3232570
genus,Lasiopetalum,7322974
genus,Laxmannia,2770344
genus,Lepidobolus,2707446
genus,Lepidosperma,2731128
genus,Leporella,2804992
genus,Leptomeria,3788892
genus,Leptospermopsis,3185255
genus,Leschenaultia,7523518
genus,Leucopogon,7288455
genus,Levenhookia,7334874
genus,Liparophyllum,7268451
genus,Lobelia,2756426
genus,Lomandra,2770880
genus,Loxocarya,2706900
genus,Lyginia,2707585
genus,Lysimachia,3169330
genus,Lysinema,7288513
genus,Macarthuria,3231955
genus,Macropidia,9473366
genus,Macrozamia,2683521
genus,Melaleuca,3175449
genus,Mesomelaena,2711985
genus,Microcorys,7307257
genus,Millotia,3097583
genus,Mirbelia,2943000
genus,Monotaxis,3055307
genus,Morelotia,2720043
genus,Muehlenbeckia,2888858
genus,Neurachne,4114832
genus,Nuytsia,4001228
genus,Olax,7326443
genus,Olearia,3148688
genus,Opercularia,2903599
genus,Orianthera,9044518
genus,Parakeelya,8399671
genus,Patersonia,2746962
genus,Pelargonium,9348640
genus,Pentameris,3935834
genus,Persoonia,3232558
genus,Petrophile,10881830
genus,Pheladenia,9461394
genus,Philotheca,7268824
genus,Phlebocarya,2765893
genus,Phyllangium,7289382
genus,Phyllanthus,3061139
genus,Pigea,7296213
genus,Pileanthus,3188396
genus,Pimelea,7661118
genus,Pityrodia,7306492
genus,Platysace,6026676
genus,Podolepis,3100330
genus,Podotheca,3131098
genus,Polianthion,7273601
genus,Polycarpon,3085379
genus,Poranthera,3081052
genus,Prasophyllum,2802616
genus,Pterochaeta,3141841
genus,Pterostylis,2847269
genus,Ptilotus,3231872
genus,Pyrorchis,2791575
genus,Quoya,9396929
genus,Raphanus,3040962
genus,Rytidosperma,2706170
genus,Samolus,3169310
genus,Santalum,2889778
genus,Scaevola,3158673
genus,Schenkia,8177819
genus,Schoenus,2693232
genus,Scholtzia,3186798
genus,Secale,2705965
genus,Seringia,3233976
genus,Siemssenia,3130159
genus,Siloxerus,3100653
genus,Sonchus,3105646
genus,Sphaerolobium,2974304
genus,Stachystemon,7855247
genus,Stackhousia,3169080
genus,Stawellia,2780614
genus,Stenanthemum,7273898
genus,Stirlingia,7287021
genus,Strangea,7287008
genus,Stylidium,7791488
genus,Stylobasium,3012072
genus,Styphelia,2888316
genus,Synaphea,7286926
genus,Tetratheca,3232032
genus,Thelymitra,2813988
genus,Thomasia,3233927
genus,Thryptomene,3177544
genus,Thysanotus,2771443
genus,Trachymene,6026323
genus,Tricoryne,2769564
genus,Tripterococcus,7321074
genus,Ursinia,3088982
genus,Verticordia,3186971
genus,Viminaria,2946421
genus,Wahlenbergia,3167091
genus,Waitzia,3121733
genus,Walteranthus,7330830
genus,Xanthorrhoea,2779409
genus,Xanthosia,3232356
genus,Xylomelum,3996323
family,Aizoaceae,6752
family,Amaranthaceae,3064
family,Apiaceae,6720
family,Araliaceae,8800
family,Asparagaceae,7683
family,Asphodelaceae,4259209
family,Asteraceae,3065
family,Boryaceae,2234
family,Brassicaceae,3112
family,Byblidaceae,3233844
family,Campanulaceae,8801
family,Caryophyllaceae,2518
family,Casuarinaceae,5352
family,Celastraceae,6715
family,Colchicaceae,7697
family,Crassulaceae,2406
family,Cupressaceae,8144
family,Cyperaceae,7708
family,Dasypogonaceae,3732
family,Dilleniaceae,2511
family,Droseraceae,5399
family,Ecdeiocoleaceae,7709
family,Elaeocarpaceae,2435
family,Ericaceae,2505
family,Euphorbiaceae,4691
family,Fabaceae,5386
family,Frankeniaceae,2380
family,Gentianaceae,2503
family,Geraniaceae,4676
family,Goodeniaceae,3113
family,Gyrostemonaceae,3232345
family,Haemodoraceae,7691
family,Haloragaceae,6694
family,Iridaceae,7698
family,Lamiaceae,2497
family,Lauraceae,6688
family,Loganiaceae,2502
family,Loranthaceae,6663
family,Macarthuriaceae,7547450
family,Malvaceae,6685
family,Menyanthaceae,2386
family,Montiaceae,4898338
family,Myrtaceae,5014
family,Olacaceae,6662
family,Oleaceae,6652
family,Opiliaceae,3232649
family,Orchidaceae,7689
family,Phyllanthaceae,8807
family,Picrodendraceae,4693
family,Poaceae,3073
family,Polygalaceae,2417
family,Polygonaceae,2416
family,Primulaceae,6674
family,Proteaceae,2414
family,Restionaceae,4213
family,Rhamnaceae,2407
family,Rubiaceae,8798
family,Rutaceae,2396
family,Santalaceae,6661
family,Sapindaceae,6657
family,Scrophulariaceae,2390
family,Solanaceae,7717
family,Stylidiaceae,3232107
family,Surianaceae,6665
family,Thymelaeaceae,2428
family,Violaceae,6631
